source,target
Projeto Integrador em Tecnologias de Informação e Comunicação I,Redes Sociais e Virtuais
Gestão de Projetos II,Interface Humano-Computador
Gestão de Projetos II,Inteligência Artificial
Gestão de Projetos II,Desenvolvimento de Sistemas Web
Gestão de Projetos II,Redes Sociais e Virtuais
Interface Humano-Computador,Inteligência Artificial
Interface Humano-Computador,Desenvolvimento de Sistemas Web
Interface Humano-Computador,Redes Sociais e Virtuais
Inteligência Artificial,Desenvolvimento de Sistemas Web
Inteligência Artificial,Redes Sociais e Virtuais
Desenvolvimento de Sistemas Web,Redes Sociais e Virtuais
Projeto Integrador em Tecnologias de Informação e Comunicação II,Plano de Negócios
Projeto Integrador em Tecnologias de Informação e Comunicação II,Gestão de Tecnologia
Projeto Integrador em Tecnologias de Informação e Comunicação II,"Ciência, Tecnologia e Sociedade"
Plano de Negócios,Gestão de Tecnologia
Plano de Negócios,"Ciência, Tecnologia e Sociedade"
Gestão de Tecnologia,"Ciência, Tecnologia e Sociedade"
Empreendedorismo,Gestão Estratégica Orientada ao Mercado
Empreendedorismo,Análise da Viabilidade Econômica de Novos Empreendimentos
Gestão Estratégica Orientada ao Mercado,Gestão de Marketing
Gestão Estratégica Orientada ao Mercado,Gestão de Tecnologia
Informática na Educação,Educação à Distância
Educação à Distância,Ambientes Virtuais de Ensino e Aprendizagem
Gestão de Projetos I,Gestão de Projetos II
Gestão de Projetos I,Projeto Integrador em Tecnologias de Informação e Comunicação I
Gestão de Projetos II,Plano de Negócios
Projeto Integrador em Tecnologias de Informação e Comunicação I,Projeto Integrador em Tecnologias de Informação e Comunicação II
Algoritmos e Programação,Programação em Computadores
Programação em Computadores,Engenharia de Software I
Programação em Computadores,Estrutura de Dados e Algoritmos
Engenharia de Software I,Engenharia de Software II
Engenharia de Software I,Interface Humano-Computador
Fundamentos Matemáticos para Computação,Redes de Computadores I
Fundamentos Matemáticos para Computação,Inteligência Artificial
Redes de Computadores I,Redes de Computadores II
Estrutura de Dados e Algoritmos,Banco de Dados
Estrutura de Dados e Algoritmos,Visualização de Dados
Estrutura de Dados e Algoritmos,Inteligência Artificial
Banco de Dados,Desenvolvimento de Sistemas Web
Introdução às Tecnologias da Informação e Comunicação,Estrutura de Computadores
Estrutura de Computadores,Sistemas Operacionais
Sistemas Multimídias,Visualização de Dados
